Year,Faculty,Count
2013,College of Population Studies,10
2013,College of Public Health Sciences,50
2013,Faculty of Allied Health Sciences,11
2013,Faculty of Architecture,87
2013,Faculty of Arts,96
2013,Faculty of Commerce and Accountancy,40
2013,Faculty of Communication Arts,71
2013,Faculty of Dentistry,26
2013,Faculty of Economics,39
2013,Faculty of Education,216
2013,Faculty of Engineering,452
2013,Faculty of Fine and Applied Arts,42
2013,Faculty of Law,93
2013,Faculty of Medicine,116
2013,Faculty of Nursing,112
2013,Faculty of Pharmaceutical Science,62
2013,Faculty of Political Science,41
2013,Faculty of Psychology,66
2013,Faculty of Science,312
2013,Faculty of Sports Science,64
2013,Faculty of Veterinary Science,40
2013,Graduate School,198
2013,Office of Research Affairs,0
2013,Institute of Asian Studies,2
2013,The Institute of Biotechnology and Genetic Engineering,3
2013,Institute of Thai Studies,0
2013,Language Institute,0
2013,Office of Academic Resources,9
2013,The Petroleum and Petrochemical College,96
2013,Sasin Graduate Institute of Business Administration,0
2014,College of Population Studies,9
2014,College of Public Health Sciences,40
2014,Faculty of Allied Health Sciences,13
2014,Faculty of Architecture,87
2014,Faculty of Arts,95
2014,Faculty of Commerce and Accountancy,35
2014,Faculty of Communication Arts,57
2014,Faculty of Dentistry,27
2014,Faculty of Economics,48
2014,Faculty of Education,227
2014,Faculty of Engineering,404
2014,Faculty of Fine and Applied Arts,46
2014,Faculty of Law,53
2014,Faculty of Medicine,140
2014,Faculty of Nursing,96
2014,Faculty of Pharmaceutical Science,60
2014,Faculty of Political Science,71
2014,Faculty of Psychology,55
2014,Faculty of Science,411
2014,Faculty of Sports Science,48
2014,Faculty of Veterinary Science,48
2014,Graduate School,157
2014,Office of Research Affairs,0
2014,Institute of Asian Studies,1
2014,The Institute of Biotechnology and Genetic Engineering,10
2014,Institute of Thai Studies,0
2014,Language Institute,0
2014,Office of Academic Resources,5
2014,The Petroleum and Petrochemical College,112
2014,Sasin Graduate Institute of Business Administration,0
2015,College of Population Studies,14
2015,College of Public Health Sciences,41
2015,Faculty of Allied Health Sciences,29
2015,Faculty of Architecture,83
2015,Faculty of Arts,97
2015,Faculty of Commerce and Accountancy,47
2015,Faculty of Communication Arts,61
2015,Faculty of Dentistry,29
2015,Faculty of Economics,33
2015,Faculty of Education,267
2015,Faculty of Engineering,409
2015,Faculty of Fine and Applied Arts,47
2015,Faculty of Law,85
2015,Faculty of Medicine,118
2015,Faculty of Nursing,105
2015,Faculty of Pharmaceutical Science,60
2015,Faculty of Political Science,37
2015,Faculty of Psychology,51
2015,Faculty of Science,449
2015,Faculty of Sports Science,44
2015,Faculty of Veterinary Science,45
2015,Graduate School,140
2015,Office of Research Affairs,0
2015,Institute of Asian Studies,0
2015,The Institute of Biotechnology and Genetic Engineering,11
2015,Institute of Thai Studies,0
2015,Language Institute,1
2015,Office of Academic Resources,5
2015,The Petroleum and Petrochemical College,85
2015,Sasin Graduate Institute of Business Administration,0
2016,College of Population Studies,6
2016,College of Public Health Sciences,47
2016,Faculty of Allied Health Sciences,20
2016,Faculty of Architecture,114
2016,Faculty of Arts,89
2016,Faculty of Commerce and Accountancy,29
2016,Faculty of Communication Arts,33
2016,Faculty of Dentistry,40
2016,Faculty of Economics,31
2016,Faculty of Education,241
2016,Faculty of Engineering,371
2016,Faculty of Fine and Applied Arts,42
2016,Faculty of Law,76
2016,Faculty of Medicine,133
2016,Faculty of Nursing,106
2016,Faculty of Pharmaceutical Science,55
2016,Faculty of Political Science,29
2016,Faculty of Psychology,69
2016,Faculty of Science,418
2016,Faculty of Sports Science,38
2016,Faculty of Veterinary Science,35
2016,Graduate School,134
2016,Office of Research Affairs,0
2016,Institute of Asian Studies,1
2016,The Institute of Biotechnology and Genetic Engineering,4
2016,Institute of Thai Studies,0
2016,Language Institute,1
2016,Office of Academic Resources,1
2016,The Petroleum and Petrochemical College,5
2016,Sasin Graduate Institute of Business Administration,0
2017,College of Population Studies,6
2017,College of Public Health Sciences,55
2017,Faculty of Allied Health Sciences,19
2017,Faculty of Architecture,81
2017,Faculty of Arts,74
2017,Faculty of Commerce and Accountancy,28
2017,Faculty of Communication Arts,43
2017,Faculty of Dentistry,38
2017,Faculty of Economics,32
2017,Faculty of Education,198
2017,Faculty of Engineering,297
2017,Faculty of Fine and Applied Arts,57
2017,Faculty of Law,101
2017,Faculty of Medicine,134
2017,Faculty of Nursing,89
2017,Faculty of Pharmaceutical Science,44
2017,Faculty of Political Science,37
2017,Faculty of Psychology,25
2017,Faculty of Science,374
2017,Faculty of Sports Science,42
2017,Faculty of Veterinary Science,37
2017,Graduate School,92
2017,Office of Research Affairs,0
2017,Institute of Asian Studies,1
2017,The Institute of Biotechnology and Genetic Engineering,0
2017,Institute of Thai Studies,0
2017,Language Institute,0
2017,Office of Academic Resources,1
2017,The Petroleum and Petrochemical College,24
2017,Sasin Graduate Institute of Business Administration,0
