Year,Bibrecord Country,Bibrecord City,faculty,Bibrecord Organization
2018.0,Thailand,Bangkok,Faculty of Medicine,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Engineering,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Medicine,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Engineering,Chulalongkorn University
2018.0,Thailand,Bangkok,Petroleum and Petrochemical College,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Engineering,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,"Thanon Phayathai, Pathumwan, Bangkok",Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,"Pathumwan, Bangkok",Faculty of Engineering,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Center of Excellence for Regenerative Dentistry,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Sports Science,Chulalongkorn University
2018.0,Thailand,Bangkok,College of Public Health Sciences,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Engineering,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Engineering,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Engineering,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Veterinary Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Veterinary Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Veterinary Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Veterinary Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Veterinary Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Veterinary Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Science,Chulalongkorn University
2018.0,Thailand,Bangkok,Department of Computer Engineering Faculty of Engineering,Chulalongkorn University
2018.0,Thailand,Bangkok,Faculty of Allied Health Sciences,Chulalongkorn University
