Year,Faculty,Count
2018.0,Center of Excellence on Hazardous Substance Management,3
2018.0,College of Population Studies,3
2018.0,College of Public Health Sciences,34
2018.0,Energy Research Institute,1
2018.0,Faculty of Allied Health Sciences,14
2018.0,Faculty of Architecture,2
2018.0,Faculty of Arts,1
2018.0,Faculty of Commerce and Accountancy,8
2018.0,Faculty of Dentistry,47
2018.0,Faculty of Economics,5
2018.0,Faculty of Education,4
2018.0,Faculty of Engineering,154
2018.0,Faculty of Faculty of Psychology,2
2018.0,Faculty of Fine and Applied Arts,1
2018.0,Faculty of Medicine,162
2018.0,Faculty of Nursing,5
2018.0,Faculty of Phamaceutical Science,52
2018.0,Faculty of Science,312
2018.0,Faculty of Sports Science,3
2018.0,Faculty of Veterinary Science,72
2018.0,Graduate School,73
2018.0,Institute of Asian Studies,2
2018.0,School of Agricultural Resources,4
2018.0,Social Research Institute,1
2018.0,The Halal Science Center,1
2018.0,The Petroleum and Petrochemical College,43
2018.0,Transportation Institute,1
2019.0,Center of Excellence on Hazardous Substance Management,2
2019.0,College of Population Studies,2
2019.0,College of Public Health Sciences,20
2019.0,Energy Research Institute,2
2019.0,Faculty of Allied Health Sciences,34
2019.0,Faculty of Architecture,1
2019.0,Faculty of Arts,1
2019.0,Faculty of Commerce and Accountancy,14
2019.0,Faculty of Dentistry,40
2019.0,Faculty of Economics,8
2019.0,Faculty of Education,2
2019.0,Faculty of Engineering,170
2019.0,Faculty of Faculty of Psychology,3
2019.0,Faculty of Medicine,185
2019.0,Faculty of Nursing,5
2019.0,Faculty of Phamaceutical Science,63
2019.0,Faculty of Political Science,1
2019.0,Faculty of Science,308
2019.0,Faculty of Sports Science,5
2019.0,Faculty of Veterinary Science,72
2019.0,Graduate School,73
2019.0,Institute of Asian Studies,4
2019.0,School of Agricultural Resources,1
2019.0,Social Research Institute,5
2019.0,The Petroleum and Petrochemical College,44
2020.0,Center of Excellence on Hazardous Substance Management,5
2020.0,College of Population Studies,3
2020.0,College of Public Health Sciences,19
2020.0,Energy Research Institute,4
2020.0,Faculty of Allied Health Sciences,30
2020.0,Faculty of Architecture,4
2020.0,Faculty of Arts,3
2020.0,Faculty of Commerce and Accountancy,19
2020.0,Faculty of Dentistry,34
2020.0,Faculty of Economics,10
2020.0,Faculty of Education,12
2020.0,Faculty of Engineering,208
2020.0,Faculty of Faculty of Psychology,3
2020.0,Faculty of Medicine,217
2020.0,Faculty of Nursing,7
2020.0,Faculty of Phamaceutical Science,67
2020.0,Faculty of Political Science,2
2020.0,Faculty of Science,310
2020.0,Faculty of Sports Science,1
2020.0,Faculty of Veterinary Science,71
2020.0,Graduate School,78
2020.0,Institute of Asian Studies,3
2020.0,Sasin Graduate Institute of Business Administration,5
2020.0,School of Agricultural Resources,4
2020.0,Social Research Institute,3
2020.0,The Halal Science Center,1
2020.0,The Petroleum and Petrochemical College,39
2021.0,College of Population Studies,3
2021.0,College of Public Health Sciences,29
2021.0,Energy Research Institute,3
2021.0,Faculty of Allied Health Sciences,39
2021.0,Faculty of Architecture,2
2021.0,Faculty of Arts,2
2021.0,Faculty of Commerce and Accountancy,10
2021.0,Faculty of Dentistry,57
2021.0,Faculty of Economics,8
2021.0,Faculty of Education,12
2021.0,Faculty of Engineering,186
2021.0,Faculty of Faculty of Psychology,8
2021.0,Faculty of Fine and Applied Arts,1
2021.0,Faculty of Law,1
2021.0,Faculty of Medicine,265
2021.0,Faculty of Nursing,11
2021.0,Faculty of Phamaceutical Science,93
2021.0,Faculty of Political Science,3
2021.0,Faculty of Science,357
2021.0,Faculty of Sports Science,6
2021.0,Faculty of Veterinary Science,99
2021.0,Graduate School,92
2021.0,Sasin Graduate Institute of Business Administration,11
2021.0,Social Research Institute,2
2021.0,The Petroleum and Petrochemical College,37
2021.0,Transportation Institute,3
2022.0,Center of Excellence on Hazardous Substance Management,1
2022.0,College of Population Studies,5
2022.0,College of Public Health Sciences,19
2022.0,Energy Research Institute,8
2022.0,Faculty of Allied Health Sciences,39
2022.0,Faculty of Architecture,7
2022.0,Faculty of Arts,3
2022.0,Faculty of Commerce and Accountancy,18
2022.0,Faculty of Communication Arts,1
2022.0,Faculty of Dentistry,82
2022.0,Faculty of Economics,8
2022.0,Faculty of Education,12
2022.0,Faculty of Engineering,219
2022.0,Faculty of Faculty of Psychology,5
2022.0,Faculty of Law,1
2022.0,Faculty of Medicine,324
2022.0,Faculty of Nursing,11
2022.0,Faculty of Phamaceutical Science,112
2022.0,Faculty of Political Science,1
2022.0,Faculty of Science,351
2022.0,Faculty of Sports Science,19
2022.0,Faculty of Veterinary Science,107
2022.0,Graduate School,115
2022.0,Institute of Asian Studies,2
2022.0,Sasin Graduate Institute of Business Administration,17
2022.0,School of Agricultural Resources,1
2022.0,Social Research Institute,4
2022.0,The Petroleum and Petrochemical College,46
2022.0,Transportation Institute,1
2023.0,Center of Excellence on Hazardous Substance Management,2
2023.0,College of Population Studies,9
2023.0,College of Public Health Sciences,12
2023.0,Energy Research Institute,3
2023.0,Faculty of Allied Health Sciences,20
2023.0,Faculty of Architecture,4
2023.0,Faculty of Arts,1
2023.0,Faculty of Commerce and Accountancy,13
2023.0,Faculty of Communication Arts,3
2023.0,Faculty of Dentistry,68
2023.0,Faculty of Economics,6
2023.0,Faculty of Education,6
2023.0,Faculty of Engineering,180
2023.0,Faculty of Faculty of Psychology,2
2023.0,Faculty of Fine and Applied Arts,1
2023.0,Faculty of Law,1
2023.0,Faculty of Medicine,169
2023.0,Faculty of Nursing,7
2023.0,Faculty of Phamaceutical Science,59
2023.0,Faculty of Political Science,4
2023.0,Faculty of Science,260
2023.0,Faculty of Sports Science,3
2023.0,Faculty of Veterinary Science,56
2023.0,Graduate School,52
2023.0,Sasin Graduate Institute of Business Administration,16
2023.0,School of Agricultural Resources,4
2023.0,Social Research Institute,2
2023.0,The Halal Science Center,1
2023.0,The Petroleum and Petrochemical College,33
2023.0,Transportation Institute,7
