Year,Faculty,Count,latitude,longitude,Floor,Building (THA),Building(ENG),Note
2013.0,College of Population Studies,10,13.7343796080462,100.53262681302,,,,PGMM+Q32
2013.0,College of Public Health Sciences,50,13.742684005688,100.531512089508,"10,11,12",,Sabbasastravicaya building,
2013.0,Faculty of Allied Health Sciences,11,13.7432386416622,100.528291986714,,อาคารจุฬาพัฒน์ 2,,
2013.0,Faculty of Architecture,87,13.7397366012632,100.530828865234,,,,
2013.0,Faculty of Arts,96,13.7393053165915,100.533923044103,,อาคารมหาจักรีสิรินธร***,,
2013.0,Faculty of Commerce and Accountancy,40,13.7340942999999,100.530085531785,,,,
2013.0,Faculty of Communication Arts,71,13.7360805298074,100.528745122165,,อาคารสมมติวงศ์***,,
2013.0,Faculty of Dentistry,26,13.7432910733746,100.534803502036,,,,
2013.0,Faculty of Economics,39,13.7343413769765,100.531582130021,,,,
2013.0,Faculty of Education,216,13.7372942413163,100.528436102158,,อาคารมหาธีรราชนุสรณ์,,
2013.0,Faculty of Engineering,452,13.7367819358887,100.533139461155,,,,
2013.0,Faculty of Fine and Applied Arts,42,13.7394248238452,100.532901787684,,,,
2013.0,Faculty of Law,93,13.7352584268874,100.528755839528,,,,
2013.0,Faculty of Medicine,116,13.733107784599,100.535680734646,,,,
2013.0,Faculty of Nursing,112,13.7441138803158,100.528537420397,11,อาคารบรมราชชนนีศรีศตพรรษ,,
2013.0,Faculty of Pharmaceutical Science,62,13.7431730299722,100.531281939118,,,,PGVJ+7G7
2013.0,Faculty of Political Science,41,13.734620930443,100.533271857985,,,,
2013.0,Faculty of Psychology,66,13.7441638489595,100.528591949775,,อาคารบรมราชชนนีศรีศตพรรษ,,
2013.0,Faculty of Science,312,13.7373189810975,100.53086597618,,,,
2013.0,Faculty of Sports Science,64,13.7434403525799,100.527069815715,,,,
2013.0,Faculty of Veterinary Science,40,13.7423987521227,100.534840162273,,,,
2013.0,Graduate School,198,13.7425637741225,100.528042072994,,,,
2013.0,Office of Research Affairs,0,13.7380629672548,100.52900514658,6,อาคารจามจุรี 5 ,,
2013.0,Institute of Asian Studies,2,13.7347176765865,100.532139861951,,อาคารประชาธิปก-รำไพพรรณี,Prajadhipok-Rabhai Barni Building,
2013.0,The Institute of Biotechnology and Genetic Engineering,3,13.7427474505722,100.532657151881,,อาคารสถาบัน 3,,Engineer Type but outlier location
2013.0,Institute of Thai Studies,0,13.7344075553596,100.532178643963,,อาคารประชาธิปก-รำไพพรรณี,,No data
2013.0,Language Institute,0,13.7351444866549,100.532275666623,,อาคารเปรมบุรฉัตร,,
2013.0,Office of Academic Resources,9,13.7389658968613,100.527703813601,,อาคารมหาธีรราชานุสรณ์,,
2013.0,The Petroleum and Petrochemical College,96,13.7429890937451,100.526725199706,,,,
2013.0,Sasin Graduate Institute of Business Administration,0,13.742695460277,100.527414796132,,อาคารศศปาฐศาลา,,
2014.0,College of Population Studies,9,13.7343796080462,100.53262681302,,,,PGMM+Q32
2014.0,College of Public Health Sciences,40,13.742684005688,100.531512089508,"10,11,12",,Sabbasastravicaya building,
2014.0,Faculty of Allied Health Sciences,13,13.7432386416622,100.528291986714,,อาคารจุฬาพัฒน์ 2,,
2014.0,Faculty of Architecture,87,13.7397366012632,100.530828865234,,,,
2014.0,Faculty of Arts,95,13.7393053165915,100.533923044103,,อาคารมหาจักรีสิรินธร***,,
2014.0,Faculty of Commerce and Accountancy,35,13.7340942999999,100.530085531785,,,,
2014.0,Faculty of Communication Arts,57,13.7360805298074,100.528745122165,,อาคารสมมติวงศ์***,,
2014.0,Faculty of Dentistry,27,13.7432910733746,100.534803502036,,,,
2014.0,Faculty of Economics,48,13.7343413769765,100.531582130021,,,,
2014.0,Faculty of Education,227,13.7372942413163,100.528436102158,,อาคารมหาธีรราชนุสรณ์,,
2014.0,Faculty of Engineering,404,13.7367819358887,100.533139461155,,,,
2014.0,Faculty of Fine and Applied Arts,46,13.7394248238452,100.532901787684,,,,
2014.0,Faculty of Law,53,13.7352584268874,100.528755839528,,,,
2014.0,Faculty of Medicine,140,13.733107784599,100.535680734646,,,,
2014.0,Faculty of Nursing,96,13.7441138803158,100.528537420397,11,อาคารบรมราชชนนีศรีศตพรรษ,,
2014.0,Faculty of Pharmaceutical Science,60,13.7431730299722,100.531281939118,,,,PGVJ+7G7
2014.0,Faculty of Political Science,71,13.734620930443,100.533271857985,,,,
2014.0,Faculty of Psychology,55,13.7441638489595,100.528591949775,,อาคารบรมราชชนนีศรีศตพรรษ,,
2014.0,Faculty of Science,411,13.7373189810975,100.53086597618,,,,
2014.0,Faculty of Sports Science,48,13.7434403525799,100.527069815715,,,,
2014.0,Faculty of Veterinary Science,48,13.7423987521227,100.534840162273,,,,
2014.0,Graduate School,157,13.7425637741225,100.528042072994,,,,
2014.0,Office of Research Affairs,0,13.7380629672548,100.52900514658,6,อาคารจามจุรี 5 ,,
2014.0,Institute of Asian Studies,1,13.7347176765865,100.532139861951,,อาคารประชาธิปก-รำไพพรรณี,Prajadhipok-Rabhai Barni Building,
2014.0,The Institute of Biotechnology and Genetic Engineering,10,13.7427474505722,100.532657151881,,อาคารสถาบัน 3,,Engineer Type but outlier location
2014.0,Institute of Thai Studies,0,13.7344075553596,100.532178643963,,อาคารประชาธิปก-รำไพพรรณี,,No data
2014.0,Language Institute,0,13.7351444866549,100.532275666623,,อาคารเปรมบุรฉัตร,,
2014.0,Office of Academic Resources,5,13.7389658968613,100.527703813601,,อาคารมหาธีรราชานุสรณ์,,
2014.0,The Petroleum and Petrochemical College,112,13.7429890937451,100.526725199706,,,,
2014.0,Sasin Graduate Institute of Business Administration,0,13.742695460277,100.527414796132,,อาคารศศปาฐศาลา,,
2015.0,College of Population Studies,14,13.7343796080462,100.53262681302,,,,PGMM+Q32
2015.0,College of Public Health Sciences,41,13.742684005688,100.531512089508,"10,11,12",,Sabbasastravicaya building,
2015.0,Faculty of Allied Health Sciences,29,13.7432386416622,100.528291986714,,อาคารจุฬาพัฒน์ 2,,
2015.0,Faculty of Architecture,83,13.7397366012632,100.530828865234,,,,
2015.0,Faculty of Arts,97,13.7393053165915,100.533923044103,,อาคารมหาจักรีสิรินธร***,,
2015.0,Faculty of Commerce and Accountancy,47,13.7340942999999,100.530085531785,,,,
2015.0,Faculty of Communication Arts,61,13.7360805298074,100.528745122165,,อาคารสมมติวงศ์***,,
2015.0,Faculty of Dentistry,29,13.7432910733746,100.534803502036,,,,
2015.0,Faculty of Economics,33,13.7343413769765,100.531582130021,,,,
2015.0,Faculty of Education,267,13.7372942413163,100.528436102158,,อาคารมหาธีรราชนุสรณ์,,
2015.0,Faculty of Engineering,409,13.7367819358887,100.533139461155,,,,
2015.0,Faculty of Fine and Applied Arts,47,13.7394248238452,100.532901787684,,,,
2015.0,Faculty of Law,85,13.7352584268874,100.528755839528,,,,
2015.0,Faculty of Medicine,118,13.733107784599,100.535680734646,,,,
2015.0,Faculty of Nursing,105,13.7441138803158,100.528537420397,11,อาคารบรมราชชนนีศรีศตพรรษ,,
2015.0,Faculty of Pharmaceutical Science,60,13.7431730299722,100.531281939118,,,,PGVJ+7G7
2015.0,Faculty of Political Science,37,13.734620930443,100.533271857985,,,,
2015.0,Faculty of Psychology,51,13.7441638489595,100.528591949775,,อาคารบรมราชชนนีศรีศตพรรษ,,
2015.0,Faculty of Science,449,13.7373189810975,100.53086597618,,,,
2015.0,Faculty of Sports Science,44,13.7434403525799,100.527069815715,,,,
2015.0,Faculty of Veterinary Science,45,13.7423987521227,100.534840162273,,,,
2015.0,Graduate School,140,13.7425637741225,100.528042072994,,,,
2015.0,Office of Research Affairs,0,13.7380629672548,100.52900514658,6,อาคารจามจุรี 5 ,,
2015.0,Institute of Asian Studies,0,13.7347176765865,100.532139861951,,อาคารประชาธิปก-รำไพพรรณี,Prajadhipok-Rabhai Barni Building,
2015.0,The Institute of Biotechnology and Genetic Engineering,11,13.7427474505722,100.532657151881,,อาคารสถาบัน 3,,Engineer Type but outlier location
2015.0,Institute of Thai Studies,0,13.7344075553596,100.532178643963,,อาคารประชาธิปก-รำไพพรรณี,,No data
2015.0,Language Institute,1,13.7351444866549,100.532275666623,,อาคารเปรมบุรฉัตร,,
2015.0,Office of Academic Resources,5,13.7389658968613,100.527703813601,,อาคารมหาธีรราชานุสรณ์,,
2015.0,The Petroleum and Petrochemical College,85,13.7429890937451,100.526725199706,,,,
2015.0,Sasin Graduate Institute of Business Administration,0,13.742695460277,100.527414796132,,อาคารศศปาฐศาลา,,
2016.0,College of Population Studies,6,13.7343796080462,100.53262681302,,,,PGMM+Q32
2016.0,College of Public Health Sciences,47,13.742684005688,100.531512089508,"10,11,12",,Sabbasastravicaya building,
2016.0,Faculty of Allied Health Sciences,20,13.7432386416622,100.528291986714,,อาคารจุฬาพัฒน์ 2,,
2016.0,Faculty of Architecture,114,13.7397366012632,100.530828865234,,,,
2016.0,Faculty of Arts,89,13.7393053165915,100.533923044103,,อาคารมหาจักรีสิรินธร***,,
2016.0,Faculty of Commerce and Accountancy,29,13.7340942999999,100.530085531785,,,,
2016.0,Faculty of Communication Arts,33,13.7360805298074,100.528745122165,,อาคารสมมติวงศ์***,,
2016.0,Faculty of Dentistry,40,13.7432910733746,100.534803502036,,,,
2016.0,Faculty of Economics,31,13.7343413769765,100.531582130021,,,,
2016.0,Faculty of Education,241,13.7372942413163,100.528436102158,,อาคารมหาธีรราชนุสรณ์,,
2016.0,Faculty of Engineering,371,13.7367819358887,100.533139461155,,,,
2016.0,Faculty of Fine and Applied Arts,42,13.7394248238452,100.532901787684,,,,
2016.0,Faculty of Law,76,13.7352584268874,100.528755839528,,,,
2016.0,Faculty of Medicine,133,13.733107784599,100.535680734646,,,,
2016.0,Faculty of Nursing,106,13.7441138803158,100.528537420397,11,อาคารบรมราชชนนีศรีศตพรรษ,,
2016.0,Faculty of Pharmaceutical Science,55,13.7431730299722,100.531281939118,,,,PGVJ+7G7
2016.0,Faculty of Political Science,29,13.734620930443,100.533271857985,,,,
2016.0,Faculty of Psychology,69,13.7441638489595,100.528591949775,,อาคารบรมราชชนนีศรีศตพรรษ,,
2016.0,Faculty of Science,418,13.7373189810975,100.53086597618,,,,
2016.0,Faculty of Sports Science,38,13.7434403525799,100.527069815715,,,,
2016.0,Faculty of Veterinary Science,35,13.7423987521227,100.534840162273,,,,
2016.0,Graduate School,134,13.7425637741225,100.528042072994,,,,
2016.0,Office of Research Affairs,0,13.7380629672548,100.52900514658,6,อาคารจามจุรี 5 ,,
2016.0,Institute of Asian Studies,1,13.7347176765865,100.532139861951,,อาคารประชาธิปก-รำไพพรรณี,Prajadhipok-Rabhai Barni Building,
2016.0,The Institute of Biotechnology and Genetic Engineering,4,13.7427474505722,100.532657151881,,อาคารสถาบัน 3,,Engineer Type but outlier location
2016.0,Institute of Thai Studies,0,13.7344075553596,100.532178643963,,อาคารประชาธิปก-รำไพพรรณี,,No data
2016.0,Language Institute,1,13.7351444866549,100.532275666623,,อาคารเปรมบุรฉัตร,,
2016.0,Office of Academic Resources,1,13.7389658968613,100.527703813601,,อาคารมหาธีรราชานุสรณ์,,
2016.0,The Petroleum and Petrochemical College,5,13.7429890937451,100.526725199706,,,,
2016.0,Sasin Graduate Institute of Business Administration,0,13.742695460277,100.527414796132,,อาคารศศปาฐศาลา,,
2017.0,College of Population Studies,6,13.7343796080462,100.53262681302,,,,PGMM+Q32
2017.0,College of Public Health Sciences,55,13.742684005688,100.531512089508,"10,11,12",,Sabbasastravicaya building,
2017.0,Faculty of Allied Health Sciences,19,13.7432386416622,100.528291986714,,อาคารจุฬาพัฒน์ 2,,
2017.0,Faculty of Architecture,81,13.7397366012632,100.530828865234,,,,
2017.0,Faculty of Arts,74,13.7393053165915,100.533923044103,,อาคารมหาจักรีสิรินธร***,,
2017.0,Faculty of Commerce and Accountancy,28,13.7340942999999,100.530085531785,,,,
2017.0,Faculty of Communication Arts,43,13.7360805298074,100.528745122165,,อาคารสมมติวงศ์***,,
2017.0,Faculty of Dentistry,38,13.7432910733746,100.534803502036,,,,
2017.0,Faculty of Economics,32,13.7343413769765,100.531582130021,,,,
2017.0,Faculty of Education,198,13.7372942413163,100.528436102158,,อาคารมหาธีรราชนุสรณ์,,
2017.0,Faculty of Engineering,297,13.7367819358887,100.533139461155,,,,
2017.0,Faculty of Fine and Applied Arts,57,13.7394248238452,100.532901787684,,,,
2017.0,Faculty of Law,101,13.7352584268874,100.528755839528,,,,
2017.0,Faculty of Medicine,134,13.733107784599,100.535680734646,,,,
2017.0,Faculty of Nursing,89,13.7441138803158,100.528537420397,11,อาคารบรมราชชนนีศรีศตพรรษ,,
2017.0,Faculty of Pharmaceutical Science,44,13.7431730299722,100.531281939118,,,,PGVJ+7G7
2017.0,Faculty of Political Science,37,13.734620930443,100.533271857985,,,,
2017.0,Faculty of Psychology,25,13.7441638489595,100.528591949775,,อาคารบรมราชชนนีศรีศตพรรษ,,
2017.0,Faculty of Science,374,13.7373189810975,100.53086597618,,,,
2017.0,Faculty of Sports Science,42,13.7434403525799,100.527069815715,,,,
2017.0,Faculty of Veterinary Science,37,13.7423987521227,100.534840162273,,,,
2017.0,Graduate School,92,13.7425637741225,100.528042072994,,,,
2017.0,Office of Research Affairs,0,13.7380629672548,100.52900514658,6,อาคารจามจุรี 5 ,,
2017.0,Institute of Asian Studies,1,13.7347176765865,100.532139861951,,อาคารประชาธิปก-รำไพพรรณี,Prajadhipok-Rabhai Barni Building,
2017.0,The Institute of Biotechnology and Genetic Engineering,0,13.7427474505722,100.532657151881,,อาคารสถาบัน 3,,Engineer Type but outlier location
2017.0,Institute of Thai Studies,0,13.7344075553596,100.532178643963,,อาคารประชาธิปก-รำไพพรรณี,,No data
2017.0,Language Institute,0,13.7351444866549,100.532275666623,,อาคารเปรมบุรฉัตร,,
2017.0,Office of Academic Resources,1,13.7389658968613,100.527703813601,,อาคารมหาธีรราชานุสรณ์,,
2017.0,The Petroleum and Petrochemical College,24,13.7429890937451,100.526725199706,,,,
2017.0,Sasin Graduate Institute of Business Administration,0,13.742695460277,100.527414796132,,อาคารศศปาฐศาลา,,
2018.0,Graduate School,73,13.7425637741225,100.528042072994,,,,
2020.0,Social Research Institute,3,13.7342123106929,100.532668397386,"4, 5",อาคารเกษม อุทยานิน,,
