Year,File Name,Date Delivered,Bibrecord City,Bibrecord Country,Bibrecord Organization,Affiliation City,Affiliation Country,Language,Database,Citation Title
2018,201800002,23/2/2021,Bangkok,Thailand,"Center of Excellence in Catalysis and Catalytic Reaction Engineering, Department of Chemical Engineering, Faculty of Engineering, Chulalongkorn University",Bangkok,Thailand,eng,"APILIT, CHEM, CPX, FLX, REAXYSCAR, SCOPUS, Scopusbase",Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser
2018,201800009,23/2/2021,Bangkok,Thailand,"Petroleum and Petrochemical College, Chulalongkorn University",Bangkok,Thailand,eng,"CHEM, CPX, MEDL, REAXYS, REAXYSCAR, SCOPUS, Scopusbase",PH Variation as a Simple and Selective Pathway for Obtaining Nanoparticle or Nanocapsule Polysaccharides
2018,201800012,23/5/2023,Bangkok,Thailand,"Department of Computer Engineerin, Chulalongkorn Universit",Bangkok,Thailand,eng,"CPX, SCOPUS, Scopusbase",Classification of advertisement text on Facebook using synthetic minority over-sampling technique
2018,201800021,10/2/2020,Bangkok,Thailand,"Department of Physics, Faculty of Science, Chulalongkorn University",Bangkok,Thailand,eng,"CPX, REAXYSCAR, SCOPUS, Scopusbase",Optical properties of CsI:Tl crystals grown using different precursors purities
2018,201800069,23/2/2021,Bangkok,Thailand,"Department of Materials Science, Faculty of Science, Chulalongkorn University",Bangkok,Thailand,eng,"REAXYSCAR, SCOPUS, SNCPX, Scopusbase",Mechanochemical-assisted heterogeneous surface modification of parawood microcrystalline cellulose and its effect on the properties of polypropylene composites
2018,201800072,25/4/2023,Bangkok,Thailand,"Department of Veterinary Surgery, Faculty of Veterinary Science, Chulalongkorn University",Bangkok,Thailand,eng,"EMBASE, EMBIO, REAXYSCAR, SCOPUS, SNCABS, Scopusbase",Hemostatic efficacy of sheep-derived fibrin glue for liver biopsy in swine
2018,201800076,25/4/2023,Bangkok,Thailand,"Department of Veterinary Surgery, Faculty of Veterinary Science, Chulalongkorn University",Bangkok,Thailand,eng,"EMBASE, EMBIO, REAXYSCAR, SCOPUS, SNCABS, Scopusbase",Computed tomographic contrast enhancement and tumor angiogenesis in canine oral tumors
2018,201800078,25/4/2023,Bangkok,Thailand,"Department of Veterinary Microbiology, Faculty of Veterinary Science, Chulalongkorn University",Bangkok,Thailand,eng,"EMBASE, EMBIO, REAXYSCAR, SCOPUS, SNCABS, Scopusbase",Emergence of a classical variant of porcine epidemic diarrhea virus novel to Thailand responsible for the milder clinical disease in a herd previously infected with a pandemic variant
2018,201800080,25/4/2023,Bangkok,Thailand,"Animal Vector-Borne Disease Research Group, Parasitology Unit, Department of Veterinary Pathology, Faculty of Veterinary Science, Chulalongkorn University",Bangkok,Thailand,eng,"EMBASE, EMBIO, REAXYSCAR, SCOPUS, SNCABS, Scopusbase","A preliminary study on diversity of midgut microbiota in Aedes aegypti (Linnaeus) and Culex quinquefasciatus (Say) collected from Bangkok, Thailand"
2018,201800083,25/4/2023,Bangkok,Thailand,"Faculty of Veterinary Science, Chulalongkorn University",Bangkok,Thailand,eng,"EMBASE, EMBIO, REAXYSCAR, SCOPUS, SNCABS, Scopusbase",Survival time and prognosis factors in hypertrophic cardiomyopathy cats with congestive heart failure
